Line,Field,Expected,Found,Comments
2,vehicle_value_amount,decimal_EN,"15030149,01",Decimal separator is '.'
2,audit_agncy_verif_veh_amount,decimal_EN,"14784012,41",Decimal separator is '.'
2,audit_veh_not_in_agncy_amount,decimal_EN,"246136,6",Decimal separator is '.'
3,vehicle_value_amount,decimal_EN,"4692706,53",Decimal separator is '.'
3,audit_agncy_verif_veh_amount,decimal_EN,"4692706,53",Decimal separator is '.'
4,vehicle_value_amount,decimal_EN,"5084352,42",Decimal separator is '.'
4,audit_agncy_verif_veh_amount,decimal_EN,"4760485,55",Decimal separator is '.'
4,audit_veh_not_in_agncy_amount,decimal_EN,"323866,87",Decimal separator is '.'
5,vehicle_value_amount,decimal_EN,"203206,48",Decimal separator is '.'
5,audit_agncy_verif_veh_amount,decimal_EN,"203206,48",Decimal separator is '.'
9,vehicle_value_amount,decimal_EN,"5125555,47",Decimal separator is '.'
9,audit_agncy_verif_veh_amount,decimal_EN,"5125555,47",Decimal separator is '.'
10,vehicle_value_amount,decimal_EN,"1032979,01",Decimal separator is '.'
10,audit_agncy_verif_veh_amount,decimal_EN,"1032979,01",Decimal separator is '.'
11,vehicle_value_amount,decimal_EN,"2298066,32",Decimal separator is '.'
11,audit_agncy_verif_veh_amount,decimal_EN,"2298066,32",Decimal separator is '.'
12,vehicle_value_amount,decimal_EN,"2506878,66",Decimal separator is '.'
12,audit_agncy_verif_veh_amount,decimal_EN,"2506878,66",Decimal separator is '.'
13,vehicle_value_amount,decimal_EN,"5580832,31",Decimal separator is '.'
13,audit_agncy_verif_veh_amount,decimal_EN,"5580832,31",Decimal separator is '.'
14,vehicle_value_amount,decimal_EN,"3115868,44",Decimal separator is '.'
14,audit_agncy_verif_veh_amount,decimal_EN,"3115868,44",Decimal separator is '.'
15,vehicle_value_amount,decimal_EN,"6489570,3",Decimal separator is '.'
15,audit_agncy_verif_veh_amount,decimal_EN,"6489570,3",Decimal separator is '.'
16,vehicle_value_amount,decimal_EN,"2135051,18",Decimal separator is '.'
