Line,Field,Expected,Found,Comments
2415,branch_division_id,varchar,1852.0,Max length is 4
2415,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2416,branch_division_id,varchar,818.0,Max length is 4
2416,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2417,branch_division_id,varchar,1793.0,Max length is 4
2417,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2418,branch_division_id,varchar,1794.0,Max length is 4
2418,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2419,branch_division_id,varchar,723.0,Max length is 4
2419,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2420,branch_division_id,varchar,811.0,Max length is 4
2420,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2421,branch_division_id,varchar,1853.0,Max length is 4
2421,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2422,branch_division_id,varchar,1853.0,Max length is 4
2422,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2423,branch_division_id,varchar,1853.0,Max length is 4
2423,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2424,branch_division_id,varchar,1853.0,Max length is 4
2424,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2425,branch_division_id,varchar,1793.0,Max length is 4
2425,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2426,branch_division_id,varchar,1853.0,Max length is 4
2426,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2427,branch_division_id,varchar,1853.0,Max length is 4
2427,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2428,branch_division_id,varchar,1853.0,Max length is 4
2428,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2429,branch_division_id,varchar,1853.0,Max length is 4
2429,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2430,branch_division_id,varchar,837.0,Max length is 4
2430,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2431,branch_division_id,varchar,723.0,Max length is 4
2431,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2432,branch_division_id,varchar,1853.0,Max length is 4
2432,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2433,branch_division_id,varchar,811.0,Max length is 4
2433,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2434,branch_division_id,varchar,811.0,Max length is 4
2434,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2435,branch_division_id,varchar,811.0,Max length is 4
2435,resdl_mt_ctrct_d_number,number,6.0,Valid thousands separator is '.' or none
2436,branch_division_id,varchar,1809.0,Max length is 4
2436,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2437,branch_division_id,varchar,819.0,Max length is 4
2437,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2438,branch_division_id,varchar,1853.0,Max length is 4
2438,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2439,branch_division_id,varchar,1793.0,Max length is 4
2439,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
