Line,Field,Expected,Found,Comments
2578,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2579,branch_division_id,varchar,1802.0,Max length is 4
2579,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2580,branch_division_id,varchar,814.0,Max length is 4
2580,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2581,branch_division_id,varchar,814.0,Max length is 4
2581,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2582,branch_division_id,varchar,816.0,Max length is 4
2582,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2583,branch_division_id,varchar,1802.0,Max length is 4
2583,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2584,branch_division_id,varchar,1802.0,Max length is 4
2584,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2585,branch_division_id,varchar,1851.0,Max length is 4
2585,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2586,branch_division_id,varchar,1794.0,Max length is 4
2586,resdl_mt_ctrct_d_number,number,7.0,Valid thousands separator is '.' or none
2587,branch_division_id,varchar,1851.0,Max length is 4
2587,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2588,branch_division_id,varchar,1795.0,Max length is 4
2588,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2589,branch_division_id,varchar,1851.0,Max length is 4
2589,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2590,branch_division_id,varchar,7714.0,Max length is 4
2590,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2591,branch_division_id,varchar,7714.0,Max length is 4
2591,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2592,branch_division_id,varchar,1851.0,Max length is 4
2592,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2593,branch_division_id,varchar,1794.0,Max length is 4
2593,resdl_mt_ctrct_d_number,number,6.0,Valid thousands separator is '.' or none
2594,branch_division_id,varchar,1793.0,Max length is 4
2594,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2595,branch_division_id,varchar,1841.0,Max length is 4
2595,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2596,branch_division_id,varchar,811.0,Max length is 4
2596,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2597,branch_division_id,varchar,1851.0,Max length is 4
2597,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2598,branch_division_id,varchar,1821.0,Max length is 4
2598,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2599,branch_division_id,varchar,1851.0,Max length is 4
2599,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2600,branch_division_id,varchar,1851.0,Max length is 4
2600,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2601,branch_division_id,varchar,1853.0,Max length is 4
2601,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2602,branch_division_id,varchar,1794.0,Max length is 4
2602,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
2603,branch_division_id,varchar,723.0,Max length is 4
2603,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2604,branch_division_id,varchar,827.0,Max length is 4
2604,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2605,branch_division_id,varchar,1852.0,Max length is 4
2605,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2606,branch_division_id,varchar,837.0,Max length is 4
2606,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2607,branch_division_id,varchar,820.0,Max length is 4
2607,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2608,branch_division_id,varchar,1852.0,Max length is 4
2608,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
2609,branch_division_id,varchar,814.0,Max length is 4
2609,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
